title,year,journal,authors,abstract,David,Najmul,Lia,Agreement
A Case Study of Two Rodent-Borne Viruses: Not Always the Same Old Suspects,2019,Frontiers in Ecology and Evolution,"Childs, J. E. and Klein, S. L. and Glass, G. E.","Two Old World rodents, house mice (Mus musculus) and Norway rats (Rattus norvegicus), were introduced into and established populations on every continent, save Antarctica. With their travels, they concomitantly introduced several zoonotic agents capable of causing human diseases. Two viruses-Lymphocytic choriomeningitis virus (LCMV; genus Arenavirus with mice) and Seoul virus (SEOV; genus Hantavirus with rats)-can cause chronic infections within their respective rodent hosts, resulting in persistent or life-long sporadic shedding of virus through secreta and excreta. Although the prevalence of infection within their wild rodent hosts can exceed 25% among mice infected with LCMV and 50% among rats infected with SEOV, acute human disease resulting from direct transmission from wild rodents is rarely reported even though both species live in close coexistence with humans. The usual ""classic"" zoonotic cycle of transmission from wild rodent reservoirs to humans now includes multiple unusual/unexpected routes. The largest described outbreaks of human disease caused by these viruses are linked to pet rodents. A novel reservoir host, the golden hamster, has supplanted house mice as the major source of LCMV infection, and SEOV outbreaks are linked to fancy rats kept as pets. Following LCMV, and to a lesser extent SEOV, outbreaks or infections associated with lab animals and/or cultured tissues derived from mice and hamsters have led to hundreds of cases of LCMV among laboratory workers, and SEOV has been detected among cell-cultured tissues. Additionally, LCMV is now a recognized source of severe congenital disease and is the unexpected source of severe and often fatal disease among solid organ recipients. Although the extensive usual and unusual routes of LCMV infection are exceptional there are many parallels with SEOV emergence.",Exclude,Include,Maybe,>1
Quadrivalent VesiculoVax vaccine protects nonhuman primates from viral-induced hemorrhagic fever and death,2019,The Journal of clinical investigation.,"Cross, R. W.","Recent occurrences of filoviruses and the arenavirus Lassa virus (LASV) in overlapping endemic areas of Africa highlight the need for a prophylactic vaccine that would confer protection against all of these viruses that cause lethal hemorrhagic fever (HF). We developed a quadrivalent formulation of VesiculoVax that contains recombinant vesicular stomatitis virus (rVSV) vectors expressing filovirus glycoproteins and that also contains a rVSV vector expressing the glycoprotein of a lineage IV strain of LASV. Cynomolgus macaques were vaccinated twice with the quadrivalent formulation, followed by challenge 28 days after the boost vaccination with each of the 3 corresponding filoviruses (Ebola, Sudan, Marburg) or a heterologous contemporary lineage II strain of LASV. Serum IgG and neutralizing antibody responses specific for all 4 glycoproteins were detected in all vaccinated animals. A modest and balanced cell-mediated immune response specific for the glycoproteins was also detected in most of the vaccinated macaques. Regardless of the level of total glycoprotein-specific immune response detected after vaccination, all immunized animals were protected from disease and death following lethal challenges. These findings indicate that vaccination with attenuated rVSV vectors each expressing a single HF virus glycoprotein may provide protection against those filoviruses and LASV most commonly responsible for outbreaks of severe HF in Africa.",Exclude,Include,Exclude,>1
Development and Evaluation of a One-Step Quantitative RT-PCR Assay for Detection of Lassa Virus,2019,Journal of Virological Methods,"Dedkov, V. G. and Magassouba, N. F. and Safonova, M. V. and Naydenova, E. V. and Ayginin, A. A. and Soropogui, B. and Kourouma, F. and Camara, A. B. and Camara, J. and Kritzkiy, A. A. and Tuchkov, I. V. and Shchelkanov, M. Y. and Maleev, V. V.","Lassa fever is a severe viral hemorrhagic illness caused by Lassa virus. Based on estimates, the number of LASV infections ranges from 300,000 to 500,000 cases in endemic areas with a fatality rate of 1%. Development of fast and sensitive tools for the control and prevention of Lassa virus infection as well as for clinical diagnostics of Lassa fever are crucial. Here we reported development and evaluation of a one-step quantitative RT-qPCR assay for the Lassa virus detection - LASV-Fl. This assay is suitable for the detection of lineages I-IV of Lassa virus. The limit of detection of the assay ranged from 10<sup>3</sup> copies/ml to 10<sup>5</sup> copies/ml and has 96.4% diagnostic sensitivity, whereas analytical and diagnostic specificities both were 100%. Serum, whole blood and tissue are suitable for use with the assay. The assay contains all the necessary components to perform the analysis, including an armored positive control (ARC+) and an armored internal control (IC). The study was done during the mission of specialized anti-epidemic team of the Russian Federation (SAET) in the Republic of Guinea in 2015-2018. Based on sequencing data, LASV-specific assay was developed using synthetic MS2-phage-based armored RNA particles, RNA from Lassa virus strain Josiah, and further, evaluated in field conditions using samples from patients and Mastomys natalensis rodents. Copyright Â© 2019 Elsevier B.V.",Include,Include,Include,3
Lassa virus infection in Mastomys natalensis in Sierra Leone. Gross and microscopic findings in infected and uninfected animals,1975,Bulletin of the World Health Organization,"Demartini, J. C. and Green, D. E. and Monath, T. P.","Pathological examinations of 28 wild caught Mastomys natalensis from Sierra Leone, 14 of which were positive for Lassa virus by tissue culture, are reported. The high frequency of neoplastic and degenerative diseases observed among older animals in closed colonies of M. natalensis were not observed in the wild animals studied. This is probably a reflection of the age distribution of the study population, since the life expectancy of wild Mastomys is less than a year. Inflammatory lesions were nonetheless identified, some of which were similar to those described in laboratory colonies. Frequent lesions were myocarditis (54%), myositis (32%), interstitial pneumonitis (50%), intercapillary glomerulosclerosis (36%), and acute nephrosis (14%). Follicular and nodular lymphoid hyperplasia were evident in the spleen (74%) and Peyer's patches (64%). Lymphoid cell accumulations were prominent in the salivary glands (36%), periportal hepatic region (25%), lungs (32%), perivascular regions (36%), and kidney (21%). Cytomegalic inclusion body sialoadenitis was common (25%). Coccidiosis was evident in the intestinal tract (25%), kidney (25%), and muscle (21%). One neoplasm, a parahepatic haemangioma, was observed histologically. Mean body weights and lengths for virus positive animals (33 g and 9.2 cm) and virus negative animals (54 g and 12.2 cm) showed that virus positive animals were smaller in weight and shorter in length. Since the age of the animals could not be determined, these differences remain unexplained. In comparison with virus negative animals, virus positive Mastomys had higher frequencies of splenic follicular hyperplasia (82% against 50%), myocarditis (79% against 29%), perivascular lymphoid cell accumulation (57% against 7%), myositis (50% against 14%), and cytomegalic inclusion body sioloadenitis (36% against 14%). The frequency of lymphoid hyperplasia of Peyer's patches was high in both groups of animals (71% and 57%). The presence of Lassa virus, small size, myocarditis, and lymphoid perivasculitis appeared to be interrelated, but larger and better controlled studies are required to elucidate the relationship.",Include,Exclude,Include,>1
Lassa fever in Guinea: II. Distribution and prevalence of Lassa virus infection in small mammals,2001,"Vector borne and zoonotic diseases (Larchmont, N.Y.)","Demby, A. H. and Inapogui, A. and Kargbo, K. and Koninga, J. and Kourouma, K. and Kanu, J. and Coulibaly, M. and Wagoner, K. D. and Ksiazek, T. G. and Peters, C. J. and Rollin, P. E. and Bausch, D. G.","Rodents of the genus Mastomys form the reservoir for Lassa virus (LV), an arenavirus that causes a potentially severe hemorrhagic illness, Lassa fever (LF). Although Mastomys rodents exist throughout sub-Saharan Africa, areas of human LF appear to be quite focal. The distribution of small mammals and LV-infected Mastomys has been assessed in only a few countries. We conducted a survey of small mammals in selected regions of Guinea to assess the degree to which LV poses a public health risk in that country. A total of 1,616 small mammals, including 956 (59%) Mastomys, were captured from 444 households and seven bush sites. Mastomys made up > 90% of the captured animals in the savannah, savannah-forest transition, and forest regions of Guinea, while Mus musculus dominated in coastal and urban sites. Animals were analyzed via enzyme-linked immunosorbent assay (ELISA) for LV-specific antigen (blood and spleen homogenate) and IgG antibody (blood only). Virus isolation from spleen homogenates was also performed on a subset of animals. Lassa antibody and antigen were found in 96 (11%) and 46 (5%), respectively, of 884 tested Mastomys. Antibody and antigen were essentially mutually exclusive and showed profiles consistent with vertical transmission of both LV and antibody. LV was isolated only from Mastomys. ELISA antigen constituted an acceptable surrogate for virus isolation, with a sensitivity and specificity when performed on blood of 78% (95% confidence interval: 68-83%) and 98% (95-99%), respectively. The proportion of LV-infected Mastomys per region ranged from 0 to 9% and was highest in the savannah and forest zones. The proportion of infected animals per village varied considerably, even between villages in close proximity. Infected animals tended to cluster in relatively few houses, suggesting the existence of focal ""hot spots"" of LV-infected Mastomys that may account for the observed heterogeneous distribution of LF.",Include,Include,Include,3
"Serological Survey of Zoonotic Viruses in Invasive and Native Commensal Rodents in Senegal, West Africa",NA,Vector Borne & Zoonotic Diseases,"Diagne, C. A. and Charbonnel, N. and Henttonen, H. and Sironen, T. and Brouat, C.","Increasing studies on rodent-borne diseases still highlight the major role of rodents as reservoirs of numerous zoonoses of which the frequency is likely to increase worldwide as a result of accelerated anthropogenic changes, including biological invasions. Such a situation makes pathogen detection in rodent populations important, especially in the context of developing countries characterized by high infectious disease burden. Here, we used indirect fluorescent antibody tests to describe the circulation of potentially zoonotic viruses in both invasive (Mus musculus domesticus and Rattus rattus) and native (Mastomys erythroleucus and Mastomys natalensis) murine rodent populations in Senegal (West Africa). Of the 672 rodents tested, we reported 22 seropositive tests for Hantavirus, Orthopoxvirus, and Mammarenavirus genera, and no evidence of viral coinfection. This study is the first to report serological detection of Orthopoxvirus in rodents from Senegal, Mammarenavirus in R. rattus from Africa, and Hantavirus in M. m. domesticus and in M. erythroleucus. Further specific identification of the viral agents highlighted here is urgently needed for crucial public health concerns.",Include,Include,Include,3
"Rapid detection and quantification of RNA of Ebola and Marburg viruses, Lassa virus, Crimean-Congo hemorrhagic fever virus, Rift Valley fever virus, dengue virus, and yellow fever virus by real-time reverse transcription-PCR",2002,Journal of Clinical Microbiology,"Drosten, C. and Gottig, S. and Schilling, S. and Asper, M. and Panning, M. and Schmitz, H. and Gunther, S.","Viral hemorrhagic fevers (VHFs) are acute infections with high case fatality rates. Important VHF agents are Ebola and Marburg viruses (MBGV/EBOV), Lassa virus (LASV), Crimean-Congo hemorrhagic fever virus (CCHFV), Rift Valley fever virus (RVFV), dengue virus (DENV), and yellow fever virus (YFV). VHFs are clinically difficult to diagnose and to distinguish; a rapid and reliable laboratory diagnosis is required in suspected cases. We have established six one-step, real-time reverse transcription-PCR assays for these pathogens based on the Superscript reverse transcriptase-Platinum Taq polymerase enzyme mixture. Novel primers and/or 5'-nuclease detection probes were designed for RVFV, DENV, YFV, and CCHFV by using the latest DNA database entries. PCR products were detected in real time on a LightCycler instrument by using 5'-nuclease technology (RVFV, DENV, and YFV) or SybrGreen dye intercalation (MBGV/EBOV, LASV, and CCHFV). The inhibitory effect of SybrGreen on reverse transcription was overcome by initial immobilization of the dye in the reaction capillaries. Universal cycling conditions for SybrGreen and 5'-nuclease probe detection were established. Thus, up to three assays could be performed in parallel, facilitating rapid testing for several pathogens. All assays were thoroughly optimized and validated in terms of analytical sensitivity by using in vitro-transcribed RNA. The >=95% detection limits as determined by probit regression analysis ranged from 1,545 to 2,835 viral genome equivalents/ml of serum (8.6 to 16 RNA copies per assay). The suitability of the assays was exemplified by detection and quantification of viral RNA in serum samples of VHF patients.",Include,Maybe,Exclude,>1
Lassa fever or lassa hemorrhagic fever risk to humans from rodent-borne zoonoses,NA,Journal of the Egyptian Society of Parasitology,"El-Bahnasawy, M. M. and Megahed, L. A. and Abdalla Saleh, H. A. and Morsy, T. A.","Viral hemorrhagic fevers (VHFs) typically manifest as rapidly progressing acute febrile syndromes with profound hemorrhagic manifestations and very high fatality rates. Lassa fever, an acute hemorrhagic fever characterized by fever, muscle aches, sore throat, nausea, vomiting, diarrhea and chest and abdominal pain. Rodents are important reservoirs of rodent-borne zoonosis worldwide. Transmission rodents to humans occur by aerosol spread, either from the genus Mastomys rodents' excreta (multimammate rat) or through the close contact with infected patients (nosocomial infection). Other rodents of the genera Rattus, Mus, Lemniscomys, and Praomys are incriminated rodents hosts. Now one may ask do the rodents' ectoparasites play a role in Lassa virus zoonotic transmission. This paper summarized the update knowledge on LHV; hopping it might be useful to the clinicians, nursing staff, laboratories' personals as well as those concerned zoonoses from rodents and rodent control.",Exclude,Exclude,Include,>1
Lassa virus-infected rodents in refugee camps in Guinea: A looming threat to public health in a politically unstable region,2007,Vector-Borne and Zoonotic Diseases,"Fair, J. and Jentes, E. and Inapogui, A. and Kourouma, K. and Goba, A. and Bah, A. and Tounkara, M. and Coulibaly, M. and Garry, R. F. and Bausch, D. G.","Rodent-borne and other communicable diseases are of particular concern to vulnerable populations in complex humanitarian emergencies. We assessed the risk of Lassa fever to refugees and humanitarian aid workers in the Forest Region of Guinea by trapping rodents and testing them for the presence of Lassa virus infection. Our study provides a point prevalence of Lassa virus-infected rodents in various refugee camps in Guinea, suggesting that the risk of disease may be highest in camps further south toward the border with Liberia. The methodology used represents a potential model for rapid public health assessments in the setting of complex humanitarian emergencies.",Include,Include,Include,3
Development and characterization of recombinant Lassa virus proteins and monoclonal antibodies for diagnostic applications,2007,NA,"Fair, Joseph N. and Garry, Robert F.","Lassa virus (LASV), Junin virus (JUNV) and several other members of the Arenaviridae induce severe, often fatal hemorrhagic fevers, and are classified as Biosafety Level 4 and NIAID Biodefense Category A agents. In addition to high case fatality rates, arenaviruses have many features that enhance their potential as bioweapons. Arenaviruses have relatively stable virions, do not require passage via insect vectors, are transmitted easily by human-to-human contact and can be spread by simple means of dispersal. The ease of travel to and from endemic areas also permits easy access to LASV and other arenaviruses for use as bioweapons. A cluster of hemorrhagic fever cases in the United States caused by any arenavirus would be a major public health incident. The potential use of arenaviruses as biological weapons directed against civilian or military targets necessitates development of effective commercial diagnostics. The ultimate goal of our project is to develop and validate multiagent diagnostic immunoassays for arenaviruses using recombinant antigens. These assays can be used to determine the attack agent following a deliberate release, and allow the virus used to be distinguished from other hemorrhagic fever viruses, such as dengue virus or Ebola virus, that may have similar case presentations. Development of rapid immunodiagnostic assays will also improve treatment of arenaviral diseases, facilitate studies to understand their prevalence and natural history, and ultimately lead to vaccines for preventing these major causes of morbidity and mortality.",Exclude,Exclude,Include,>1
Detection panel for identification of twelve hemorrhagic viruses using real-time rt-pcr,2014,"Epidemiologie, Mikrobiologie, Imunologie","Fajfr, M. and Neubauerova, V. and Pajer, P. and Kubickova, P. and Ruzek, D.","Background: Viral hemorrhagic fevers are caused by viruses from four viral families and develop diseases with high fatality rates. However, no commercial diagnostic assay for these pathogens is available. Finding(s): We developed real-time RT-PCR assays for viruses Ebola, Marburg, Lassa, Guanarito, Machupo, Junin, Sabia, Seoul, Puumala, Hantaan, Crimean-Congo hemorrhagic fever virus and Rift Valley fever virus. The assays were optimized for identical reaction conditions and can be performed using several types of real-time PCR instruments, both capillary and plate, including a portable Ruggedized Advanced Pathogen Identification Device (R.A.P.I.D.) (Idaho Technology, Inc.). Conclusion(s): In combination with primers and probes from previously published studies, we present a simple system for rapid identification of hemorrhagic filoviruses, arenaviruses and bunyaviruses with sufficient sensitivity for first contact laboratory and diagnosis under field conditions.",Include,Maybe,Maybe,>1
